product_id,price,stock_quantity,stock_status,onsale_web,id_web,post_title,post_name,total_sales,z_score
6227.0,40.2,15.0,instock,1.0,15163,Le Pas de l'Escalette Terrasses du Larzac Les Frieys 2017,le-pas-de-lescalette-terrasses-du-larzac-les-frieys-2017,1,0.2771203624032164
6578.0,40.0,0.0,outofstock,1.0,15647,Saumaize-Michelin Pouilly-Fuissé Ampélopsis 2016,saumaize-michelin-pouilly-fuisse-ampelopsis-2016,7,0.2699288404683154
4250.0,19.5,14.0,instock,1.0,16317,Domaine Saint-Denis Bourgogne Rouge Clos de la Coque 2018,domaine-saint-denis-bourgogne-clos-coque-2018,30,-0.46720215785903013
4900.0,20.8,42.0,instock,1.0,16063,Domaine Brintet Mercurey Rouge Vieilles Vignes 2018,domaine-brintet-mercurey-rouge-vieilles-vignes-2018,1,-0.42045726528217403
5815.0,16.6,11.0,instock,1.0,15238,Maison Trimbach Muscat Réserve 2017,trimbach-muscat-reserve-2017,1,-0.5714792259150936
4632.0,50.0,3.0,instock,1.0,2179,Marcel Windholtz Eau de Vie de Quetsch d'Alsace Réserve Particulière,marcel-windholtz-eau-de-quetsch-dalsace-reserve-particuliere,0,0.629504937213362
4675.0,10.7,35.0,instock,1.0,13762,Domaine Rotier Gaillac Blanc Sec Renaissance 2015,domaine-rotier-gaillac-blanc-sec-renaissance-2015,0,-0.7836291229946711
4049.0,19.3,46.0,instock,1.0,16043,Pierre Gaillard Saint-Joseph Rouge 2018,pierre-gaillard-saint-joseph-2018,1,-0.47439367979393104
4196.0,27.2,13.0,instock,1.0,13032,Château de La Liquière Faugères Tucade 2015,chateau-de-liquiere-faugeres-tucade-2015,2,-0.1903285633653443
5554.0,38.0,10.0,instock,1.0,13969,Thierry Germain Saumur-Champigny Clos de l'Echelier 2017,thierry-germain-saumur-champigny-clos-echelier-2017,0,0.19801362111930607
4053.0,44.3,16.0,instock,1.0,13127,Clos du Mont-Olivet Châteauneuf-du-Pape 2012,clos-du-mont-olivet-chateauneuf-du-pape-2012,23,0.4245465620686853
4174.0,5.7,94.0,instock,1.0,16209,Maurel Cabardès Tradition 2017,maurel-cabardes-tradition-2017,6,-0.9634171713671944
4183.0,21.4,48.0,instock,1.0,15746,Borie La Vitarèle Saint-Chinian Les Crès 2016,borie-la-vitarele-saint-chinian-les-cres-2016,0,-0.39888269947747135
5893.0,26.6,65.0,instock,1.0,13910,Gilbert Picq Chablis 1er Cru Vaucoupin 2016,gilbert-picq-chablis-1er-cru-vaucoupin-2016,5,-0.211903129170047
4139.0,77.4,7.0,instock,1.0,13217,Zind-Humbrecht Gewurztraminer Grand Cru Rangen De Thann Clos Saint-Urbain 2013,zind-humbrecht-gewurzt-grand-cru-rangen-de-thann-clos-saint-urbain-2013,0,1.6147434422947897
4611.0,26.2,27.0,instock,1.0,15452,Gilbert Picq Chablis Vosgros 1er Cru 2017,gilbert-picq-chablis-vosgros-1er-cru-2017,15,-0.22628617303984894
4687.0,30.1,36.0,instock,1.0,15582,Cosse-Maisonneuve Cahors Le Sid 2014,matthieu-cosse-cahors-le-sid-2014,0,-0.08605149530928069
5446.0,16.2,30.0,instock,1.0,16328,Parcé Frères Banyuls Rimage 2018,parce-freres-banyuls-rimage-2018,0,-0.5858622697848955
4043.0,60.0,12.0,instock,1.0,14980,Pierre Gaillard Côte Rôtie Esprit de Blonde 2017,pierre-gaillard-cote-rotie-esprit-blond-2017,3,0.9890810339584085
4099.0,12.8,43.0,instock,1.0,15813,Paul Ginglinger Riesling Drei Exa 2018,paul-ginglinger-riesling-drei-exa-2018,0,-0.7081181426782113
4395.0,27.5,8.0,instock,1.0,11587,Wemyss Malts Blended Scotch Whisky Lord Elcho,whisky-lord-elcho,0,-0.17954128046299286
4634.0,41.0,4.0,instock,1.0,41,Marcel Windholtz Eau de Vie de Marc de Gewurztraminer,marcel-windholtz-eau-de-marc-de-gewurztraminer,0,0.30588645014282
4739.0,7.4,50.0,instock,1.0,14366,Jean-Paul Brun Beaujolais Le Ronsay 2016,jean-paul-brun-beaujolais-le-ronsay-2016,0,-0.9022892349205366
4892.0,20.1,34.0,instock,1.0,15952,Jacqueson Rully Rouge Les Chaponnières 2018,jacqueson-rully-rouge-les-chaponnieres-2018,3,-0.4456275920543273
4669.0,20.2,37.0,instock,1.0,16053,Domaine Pellé Menetou Salon Blanc Le Carroir 2018,pelle-menetou-salon-blanc-le-carroir-2018,1,-0.4420318310868769
4780.0,13.7,12.0,instock,1.0,13096,Maurice Schoech Crémant d'Alsace Brut Rosé Bulles de Granite,maurice-schoech-cremant-dalsace-brut-rose-bulles-de-granite,1,-0.6757562939711572
6109.0,39.2,0.0,outofstock,1.0,15201,Gilles Robin Saint-Joseph Rouge André Péalat 2010,gilles-robin-saint-joseph-pealat-2010,1,0.24116275272871174
4107.0,35.0,35.0,instock,1.0,14800,Emile Boeckel Pinot Noir Terres Rouges 2016,emile-boeckel-pinot-noir-terres-rouges-2016,0,0.09014079209579208
4148.0,37.5,18.0,instock,1.0,1364,Champagne Mailly Grand Cru Brut Rosé,champagne-mailly-grand-cru-brut-rose,0,0.18003481628205373
4201.0,38.0,69.0,instock,1.0,15656,Mas de Daumas Gassac IGP Saint-Guilhem-le-Désert 2018,mas-de-daumas-gassac-igp-saint-guilhem-le-desert-2018,0,0.19801362111930607
4299.0,39.1,18.0,instock,1.0,16578,Domaine de La Tour Du Bon Bandol Rouge Saint Ferréol 2018,domaine-de-la-tour-du-bon-bandol-saint-ferreol-2018,0,0.23756699176126123
5907.0,17.7,5.0,instock,1.0,12882,Domaine de Montbourgeau Vin de Paille 2013,domaine-de-montbourgeau-vin-de-paille-2013,0,-0.5319258552731385
4221.0,12.8,83.0,instock,1.0,15829,Xavier Frissant Touraine Les Roses du Clos 2018,xavier-frissant-touraine-roses-du-clos-2018,15,-0.7081181426782113
4867.0,9.9,0.0,outofstock,1.0,16148,Château De La Selve IGP Coteaux de l'Ardèche Maguelonne Rosé 2019,chateau-de-la-selve-igp-coteaux-de-lardeche-maguelonne-rose-2019,1,-0.8123952107342749
4087.0,14.4,45.0,instock,1.0,16180,Rimauresq Côtes de Provence Cru Classé Rosé 2019,rimauresq-cotes-de-provence-cru-classe-rose-2019,18,-0.650585967199004
4670.0,17.0,93.0,instock,1.0,15525,Domaine Pellé Menetou Salon Blanc Morogues 2018,pelle-menetou-salon-blanc-morogues-2018,2,-0.5570961820452918
4890.0,17.0,29.0,instock,1.0,16038,Saumaize-Michelin Saint-Véran 2018,saumaize-michelin-saint-veran-2018,6,-0.5570961820452918
4902.0,46.0,11.0,instock,1.0,13052,Domaine Des Croix Savigny-Lès-Beaune 1er Cru Les Peuillets 2015,domaine-des-croix-savigny-les-beaune-1er-cru-les-peuillets-2015,0,0.48567449851534333
4605.0,32.2,1.0,instock,1.0,15148,Catherine et Claude Maréchal Savigny-Lès-Beaune Rouge 2016,catherine-et-claude-marechal-savigny-les-beaune-rouge-2016,0,-0.010540514992820861
4778.0,13.9,0.0,outofstock,1.0,16072,Clos du Mont-Olivet Lirac Rosé Farel 2019,clos-du-mont-olivet-cotes-du-rhone-rose-farel-2019,0,-0.6685647720362563
4149.0,69.0,34.0,instock,1.0,7086,Champagne Mailly Grand Cru Intemporelle Rosé 2009,champagne-mailly-grand-cru-intemporelle-rose-2009,0,1.3126995210289505
4186.0,16.6,0.0,outofstock,1.0,16190,Le Pas de l'Escalette Terrasses du Larzac Les Clapas Rouge 2018,le-pas-de-lescalette-larzac-clapas-rouge-2018,1,-0.5714792259150936
4792.0,21.0,13.0,instock,1.0,15733,Maurice Schoech Riesling Grand Cru Kaefferkopf 2018,maurice-schoech-riesling-grand-cru-kaefferkopf-2018,19,-0.4132657433472731
4889.0,25.3,0.0,outofstock,1.0,16037,Saumaize-Michelin Pouilly-Fuissé Vignes Blanches 2018,saumaize-michelin-pouilly-fuisse-vignes-blanches-2018,0,-0.2586480217469031
5743.0,57.0,0.0,outofstock,1.0,14323,Domaine Clerget Vosne-Romanée Les Violettes 2015,domaine-clerget-vosne-romanee-les-violettes-2015,0,0.8812082049348946
4213.0,58.8,2.0,instock,1.0,15718,Lucien Boillot Volnay 1er Cru Les Angles 2017,lucien-boillot-volnay-1ercru-angles-2017,0,0.9459319023490028
5807.0,27.3,1.0,instock,1.0,15471,Château d'Arcole Saint-Emilion Grand Cru 2016,arcole-saint-emilion-grand-cru-2016,4,-0.18673280239789375
5964.0,16.3,11.0,instock,1.0,13662,Domaine de l'Ancienne Cure Pécharmant L'Abbaye 2015,domaine-de-lancienne-cure-pecharmant-abbaye-2015,3,-0.582266508817445
6575.0,41.8,1.0,instock,1.0,15479,Marc Colin Et Fils Saint-Aubin 1er Cru La Chatenière 2017,marc-colin-et-fils-saint-aubin-1ercru-chateniere-2017,0,0.33465253788242366
4795.0,12.0,34.0,instock,1.0,3568,Emile Boeckel Crémant Brut Rosé,emile-boeckel-cremant-brut-rose,10,-0.736884230417815
5069.0,65.0,2.0,instock,1.0,15344,Albert Mann Pinot Noir Les Saintes Claires 2017,albert-mann-pinot-noir-les-saintes-claires-2017,0,1.1688690823309318
5770.0,34.4,54.0,instock,1.0,15178,Camille Giroud Santenay Blanc 2017,camille-giroud-santenay-blc-2017,4,0.06856622629108923
4079.0,37.0,0.0,outofstock,1.0,13078,Le Vieux Donjon Châteauneuf-du-Pape 2013,vieux-donjon-chateauneuf-2013,0,0.1620560114448014
5026.0,86.8,2.0,instock,1.0,13913,Champagne Agrapart &amp; Fils Minéral Extra Brut Blanc de Blancs Grand Cru 2012,champagne-agrapart-fils-mineral-extra-brut-blanc-de-blancs-grand-cru-2012,0,1.9527449732351332
6105.0,34.8,1.0,instock,1.0,14090,Stéphane Tissot Côtes du Jura Sursis 2017,stephane-tissot-cotes-du-jura-sursis-2017,7,0.08294927016089104
4048.0,22.8,22.0,instock,1.0,16044,Pierre Gaillard Saint-Joseph Rouge Clos de Cuminaille 2018,pierre-gaillard-saint-joseph-cuminaille-2018,7,-0.34854204593316473
4094.0,13.7,24.0,instock,1.0,15676,Paul Ginglinger Gewurztraminer Wahlenbourg 2017,ginglinger-gewurzt-wahlenbourg-2017,0,-0.6757562939711572
4198.0,5.8,105.0,instock,1.0,16322,Moulin de Gassac IGP Pays d'Hérault Guilhem Rouge 2019,moulin-gassac-igp-pays-herault-guilhem-rouge-2019,0,-0.9598214103997439
5019.0,19.8,0.0,outofstock,1.0,14696,Château Tour Des Gendres Bergerac Blanc Moulin Des Dames 2016,chateau-tour-des-gendres-bergerac-blanc-moulin-des-dames-2016,0,-0.4564148749566787
5711.0,25.0,35.0,instock,1.0,16121,Albert Mann Riesling Cuvée Albert 2017,albert-mann-riesling-albert-2017,5,-0.2694353046492545
4039.0,46.0,0.0,outofstock,1.0,19815,Pierre Jean Villa Côte Rôtie Carmina 2017,pierre-jean-villa-cote-rotie-carmina-2017,0,0.48567449851534333
4654.0,33.4,0.0,outofstock,1.0,13514,Thierry Germain Saumur-Champigny La Marginale 2016,thierry-germain-saumur-champigny-la-marginale-2016__trashed,0,0.032608616616584575
4734.0,15.3,36.0,instock,1.0,16138,Camin Larredya Jurançon Moelleux Costat Darrer 2018,camin-larredya-jurancon-moelleux-costat-darrer-2018,1,-0.6182241184919497
4901.0,41.0,36.0,instock,1.0,14802,Domaine Des Croix Beaune 1er Cru Les Cent Vignes 2017,domaine-des-croix-beaune-1er-cru-les-cent-vignes-2017,0,0.30588645014282
4151.0,13.7,0.0,outofstock,1.0,15140,Elian Daros Côtes du Marmandais Abouriou 2016,elian-daros-abouriou-2016,12,-0.6757562939711572
5617.0,27.8,12.0,instock,1.0,14844,Albert Boxler Pinot Gris Réserve 2016,albert-boxler-pinot-gris-reserve-2016,3,-0.16875399756064144
3850.0,20.8,0.0,outofstock,1.0,15300,Pierre Jean Villa Crozes-Hermitage Accroche Coeur 2018,pierre-jean-villa-croze-hermitage-accroche-coeur-2018,0,-0.42045726528217403
4937.0,9.9,28.0,instock,1.0,16283,Domaine Rouge Garance Côtes du Rhône Feuille de Garance 2019,domaine-rouge-garance-cotes-du-rhone-feuille-de-garance-2019,4,-0.8123952107342749
6204.0,31.0,7.0,instock,1.0,14604,Domaine Giudicelli Muscat du Cap Corse 2016,domaine-giudicelli-muscat-du-cap-corse-2016,7,-0.053689646602226554
5706.0,10.3,22.0,instock,1.0,15674,Domaine des Terres d'Ocre Saint-Pourçain Blanc Instant T 2018,domaine-terres-d-ocre-saint-pourcain-blanc-instant-t-2018,0,-0.798012166864473
5795.0,23.0,18.0,instock,1.0,13291,Château de Chantegrive Graves Blanc Caroline 2016,chateau-de-chantegrive-caroline-blanc-2016,0,-0.3413505239982638
4060.0,11.9,73.0,instock,1.0,16498,Mourgues du Grès Costières de Nîmes Terre d'Argence 2017,mourgues-du-gres-costieres-de-nimes-argence-rouge-2017,9,-0.7404799913852655
4707.0,22.8,13.0,instock,1.0,15466,Albert Mann Pinot Gris Cuvée Albert 2017,albert-mann-pinot-gris-cuvee-albert-2017,13,-0.34854204593316473
5816.0,16.9,5.0,instock,1.0,15237,Maison Trimbach Riesling 2017,maison-trimbach-riesling-2017,0,-0.5606919430127423
5827.0,55.0,11.0,instock,1.0,15328,Agnès Levet Côte Rôtie Maestria 2017,agnes-levet-cote-rotie-maestria-2017,3,0.8092929855858852
4208.0,7.6,578.0,instock,1.0,16024,Domaine Montrose Côtes de Thongue Rosé 2019,domaine-montrose-cotes-de-thongue-rose-2019,16,-0.8950977129856355
4264.0,17.8,48.0,instock,1.0,15665,Chermette Domaine du Vissoux Moulin à Vent Les Trois Roches 2018,chermette-domaine-du-vissoux-moulin-a-vent-trois-roches-2018,2,-0.528330094305688
5561.0,58.0,0.0,outofstock,1.0,19820,Tempier Bandol Migoua 2017,tempier-bandol-migoua-2017,0,0.9171658146093992
5615.0,56.4,11.0,instock,1.0,15923,"Albert Boxler Pinot Gris Grand Cru Sommerberg ""W"" 2016",albert-boxler-pinot-gris-sommerberg-w-2016,0,0.8596336391301918
5899.0,28.1,0.0,outofstock,1.0,12339,Stéphane Tissot Arbois Blanc Les Bruyères 2015,stephane-tissot-arbois-bruyeres-2015,4,-0.15796671465829001
7025.0,69.0,2.0,instock,1.0,15887,Domaine Jamet Côte Rôtie Fructus Voluptas 2018,jamet-cote-rotie-fructus-voluptas-2018,0,1.3126995210289505
4155.0,14.5,70.0,instock,1.0,14944,Elian Daros Côtes du Marmandais Le Vignoble d'Elian 2016,elian-daros-cotes-du-marmandais-vignoble-elian-2016,3,-0.6469902062315535
5778.0,5.8,36.0,instock,1.0,15561,Maurel Pays d'Oc Merlot 2018,maurel-pays-d-oc-merot-2018,24,-0.9598214103997439
4142.0,53.0,8.0,instock,1.0,11641,Champagne Gosset Grand Millésime 2006,champagne-gosset-grand-millesime-2006,30,0.7373777662368759
4246.0,15.3,25.0,instock,1.0,15428,Domaine Saint-Denis Mâcon Lugny 2017,st-denis-macon-lugny-2017,7,-0.6182241184919497
4676.0,12.9,73.0,instock,1.0,15280,Domaine Rotier Gaillac Blanc Doux Les Gravels 2016,domaine-rotier-gaillac-blanc-doux-les-gravels-2016,0,-0.7045223817107609
5382.0,22.8,11.0,instock,1.0,16011,Nouvelle-Zélande Marlborough Momo Pinot Noir 2016,nouvelle-zelande-marlborough-momo-pinot-noir-2016,0,-0.34854204593316473
5616.0,38.4,6.0,instock,1.0,14845,"Albert Boxler Pinot Noir ""S"" 2016",albert-boxler-pinot-noir-s-2016,2,0.21239666498910786
5768.0,35.6,0.0,outofstock,1.0,15183,Camille Giroud Maranges Rouge 1er Cru Le Croix Moines 2016,camille-giroud-maranges-1er-cru-le-croix-moines-2016,1,0.11171535790049493
4058.0,8.7,267.0,instock,1.0,16318,Mourgues du Grès Costières de Nîmes Galets Rouges 2019,mourgues-du-gres-costieres-de-nimes-galets-rouges-2019,11,-0.8555443423436805
5564.0,30.8,21.0,instock,1.0,15748,Tempier Bandol Rouge 2017,tempier-bandol-2017,3,-0.06088116853712746
4040.0,34.3,0.0,outofstock,1.0,15303,Pierre Jean Villa Saint-Joseph Saut De l'Ange 2018,pierre-jean-villa-saint-joseph-saut-ange-2018,0,0.06497046532363872
6127.0,10.6,66.0,instock,1.0,14573,Moulin de Gassac IGP Pays d'Hérault Rouge Mazet du Levant 2017,moulin-de-gassac-igp-pays-dherault-mazet-levant-2017,0,-0.7872248839621215
5393.0,35.3,9.0,instock,1.0,12494,Australie Harkham Wines Old Vines 2011,australie-harkham-wines-old-vines-2011,0,0.10092807499814338
5395.0,12.7,6.0,instock,1.0,15095,Chili Errazuriz Cabernet Sauvignon 2016,chili-errazuriz-cabernet-sauvignon-2015,0,-0.7117139036456618
