product_id,post_title,price,stock_quantity,chiffre_affaires_produit,chiffre_affaires_total
4573.0,Château de Meursault Beaune-Grèves Les Trois Journaux 1er Cru 2015,67.2,9.0,604.8000000000001,388287.4999999999
4933.0,Marcel Richaud Cairanne Rouge 2018,18.4,30.0,552.0,388287.4999999999
4172.0,Maurel Pays d'Oc Chardonnay 2019,5.7,167.0,951.9,388287.4999999999
4073.0,Château de Vaudieu Châteauneuf-du-Pape L'Avenue 2015,77.8,11.0,855.8,388287.4999999999
4679.0,Domaine Rotier Gaillac Rouge Renaissance 2016,13.2,37.0,488.4,388287.4999999999
4783.0,Maurice Schoech Pinot Gris Vendanges Tardives 2015,29.5,5.0,147.5,388287.4999999999
5694.0,Philippe Nusswitz Duché d'Uzès Orénia Rouge Réserve 2016,12.7,62.0,787.4,388287.4999999999
4788.0,Maurice Schoech Pinot Gris 2018,12.3,21.0,258.3,388287.4999999999
4779.0,Clos du Mont-Olivet Vin de France La Sabonite,7.8,163.0,1271.3999999999999,388287.4999999999
5736.0,Triennes IGP Méditerranée Blanc Sainte Fleur 2018,14.9,10.0,149.0,388287.4999999999
6930.0,Mouthes Le Bihan Côtes de Duras L'Aimé Chai 2015,8.4,83.0,697.2,388287.4999999999
6221.0,Planeta Sicilia Eruzione 1614 2017,23.5,3.0,70.5,388287.4999999999
7025.0,Domaine Jamet Côte Rôtie Fructus Voluptas 2018,69.0,2.0,138.0,388287.4999999999
4100.0,Emile Boeckel Gewurztraminer Grand Cru Zotzenberg 2016,15.8,7.0,110.60000000000001,388287.4999999999
4146.0,Champagne Mailly Grand Cru Brut Réserve,29.5,33.0,973.5,388287.4999999999
4799.0,Domaine de la Monardière Vacqueyras Les Deux Monardes 2017,14.9,56.0,834.4,388287.4999999999
4364.0,Wemyss Malts Blended Malt Scotch Whisky The Hive,49.5,6.0,297.0,388287.4999999999
5619.0,"Albert Boxler Riesling Grand Cru Sommerberg ""E"" 2018",71.3,13.0,926.9,388287.4999999999
5561.0,Tempier Bandol Migoua 2017,58.0,0.0,0.0,388287.4999999999
4076.0,Plateau des Chênes Lirac 2016,14.05,53.0,744.6500000000001,388287.4999999999
4582.0,Château de Meursault Puligny-Montrachet 1er Cru Champ Canet 2014,109.6,7.0,767.1999999999999,388287.4999999999
4264.0,Chermette Domaine du Vissoux Moulin à Vent Les Trois Roches 2018,17.8,48.0,854.4000000000001,388287.4999999999
6205.0,Domaine Giudicelli Vin de France Corail Rouge 2019,20.2,109.0,2201.7999999999997,388287.4999999999
4075.0,Plateau des Chênes Lirac 2015,14.7,54.0,793.8,388287.4999999999
4682.0,Château Plaisance Fronton Rouge 2017,9.1,26.0,236.6,388287.4999999999
4232.0,Argentine Mendoza Alamos Chardonnay 2019,11.1,35.0,388.5,388287.4999999999
5480.0,Domaine Bulliat Chiroubles Cuvée Félix 2019,10.4,37.0,384.8,388287.4999999999
4605.0,Catherine et Claude Maréchal Savigny-Lès-Beaune Rouge 2016,32.2,1.0,32.2,388287.4999999999
4782.0,Paul Ginglinger Pinot Blanc 2017,9.8,22.0,215.60000000000002,388287.4999999999
4962.0,Château Turcaud Bordeaux Blanc Cuvée Majeure 2018,11.3,95.0,1073.5,388287.4999999999
4211.0,Lucien Boillot Pommard 2017,48.5,0.0,0.0,388287.4999999999
4920.0,Alain Graillot Crozes-Hermitage Blanc 2018,24.4,1.0,24.4,388287.4999999999
4130.0,Zind-Humbrecht Pinot Gris Roche Calcaire 2017,23.0,0.0,0.0,388287.4999999999
4759.0,Domaine Saint-Nicolas Fiefs Vendéens Rouge Reflets 2018,16.9,49.0,828.0999999999999,388287.4999999999
5778.0,Maurel Pays d'Oc Merlot 2018,5.8,36.0,208.79999999999998,388287.4999999999
4268.0,Domaine Bulliat Morgon Le Colombier 2019,15.2,55.0,836.0,388287.4999999999
4196.0,Château de La Liquière Faugères Tucade 2015,27.2,13.0,353.59999999999997,388287.4999999999
4684.0,Château Plaisance Fronton To Co Que Cal 2015,18.1,25.0,452.50000000000006,388287.4999999999
4287.0,Domaine Hauvette Les Baux de Provence Cornaline 2014,38.6,22.0,849.2,388287.4999999999
5486.0,Decelle-Villa Meursault 2018,49.5,5.0,247.5,388287.4999999999
4901.0,Domaine Des Croix Beaune 1er Cru Les Cent Vignes 2017,41.0,36.0,1476.0,388287.4999999999
4885.0,Saumaize-Michelin Mâcon Vergisson Sur La Roche 2017,18.7,6.0,112.19999999999999,388287.4999999999
4041.0,Pierre Gaillard Condrieu 2018,32.7,15.0,490.50000000000006,388287.4999999999
4180.0,Domaine de l'Hortus Val de Montferrand La Grande Cuvée Blanc 2018,24.0,47.0,1128.0,388287.4999999999
4648.0,Bernard Baudry Chinon Blanc La Croix Boissée 2018,24.3,9.0,218.70000000000002,388287.4999999999
4170.0,Ollieux Romanis Corbières Classique 2018,9.0,58.0,522.0,388287.4999999999
4068.0,Gilles Robin Crozes-Hermitage Rouge Papillon 2019,16.6,157.0,2606.2000000000003,388287.4999999999
4205.0,Mas Laval Terrasses du Larzac La Grande Cuvée 2016,23.0,0.0,0.0,388287.4999999999
4963.0,Château Turcaud Bordeaux Rouge 2016,7.0,289.0,2023.0,388287.4999999999
4678.0,Domaine Rotier Gaillac Rouge L'Ame 2016,29.8,30.0,894.0,388287.4999999999
5905.0,Domaine de Montbourgeau L'Etoile Vin Jaune 2009,43.9,0.0,0.0,388287.4999999999
5383.0,Nouvelle-Zélande Marlborough Kim Crawford Sauvignon Blanc 2015,19.5,9.0,175.5,388287.4999999999
4658.0,Thierry Germain Saumur-Champigny Outre Terre 2016,48.8,12.0,585.5999999999999,388287.4999999999
5393.0,Australie Harkham Wines Old Vines 2011,35.3,9.0,317.7,388287.4999999999
4719.0,Domaine Schoenheitz Pinot Noir Tradition 2019,12.5,29.0,362.5,388287.4999999999
6751.0,Château Simone Palette Blanc 2017,46.5,0.0,0.0,388287.4999999999
4892.0,Jacqueson Rully Rouge Les Chaponnières 2018,20.1,34.0,683.4000000000001,388287.4999999999
6886.0,Gratavinum Priorat GV5 2011,42.0,0.0,0.0,388287.4999999999
5010.0,Domaine des Comtes Lafon Monthélie 1er Cru Les Duresses 2017,55.6,17.0,945.2,388287.4999999999
4391.0,Wemyss Malts Blended Malt Scotch Whisky Peat Chimney,49.5,7.0,346.5,388287.4999999999
4280.0,Château de Cazeneuve Languedoc Blanc 2016,18.9,46.0,869.4,388287.4999999999
4182.0,Borie La Vitarèle Saint-Chinian Les Schistes 2017,16.7,53.0,885.0999999999999,388287.4999999999
4970.0,Champagne Larmandier-Bernier Terre de Vertus Premier Cru 2011,49.5,0.0,0.0,388287.4999999999
4162.0,Domino Romano Ribera Del Duero Camino Romano 2016,14.3,26.0,371.8,388287.4999999999
4714.0,Domaine Schoenheitz Muscat 2017,13.3,25.0,332.5,388287.4999999999
4929.0,Domaine La Croix Belle Côtes de Thongue Rouge N°7 2017,16.7,4.0,66.8,388287.4999999999
4077.0,Domaine des Bosquets Gigondas 2016,22.9,48.0,1099.1999999999998,388287.4999999999
4720.0,Domaine Schoenheitz Riesling Herrenreben 2018,15.9,10.0,159.0,388287.4999999999
4235.0,Maroc Graillot/Thaleb Tandem Syrah 2015,17.1,0.0,0.0,388287.4999999999
5806.0,Château La Croix Meunier Saint-Emilion Grand Cru 2014,17.4,0.0,0.0,388287.4999999999
5611.0,Domaine Weinbach Riesling Grand Cru Schlossberg Cuvée Ste Catherine 2018,63.4,1.0,63.4,388287.4999999999
4908.0,Alphonse Mellot Sancerre Blanc Edmond 2016,53.2,5.0,266.0,388287.4999999999
6047.0,Château de La Liquière Faugères L'Ampoule 2019,10.9,46.0,501.40000000000003,388287.4999999999
4161.0,Planeta Sicilia Plumbago 2017,11.6,0.0,0.0,388287.4999999999
4614.0,Gilbert Picq Chablis En Vaudécorse 2017,19.0,50.0,950.0,388287.4999999999
5969.0,Zind-Humbrecht Riesling Clos Windsbuhl 2014,69.0,0.0,0.0,388287.4999999999
